923 : [(11, 17), (3, 9), (7, 23), (1, 15), (7, 5), (15, 21), (22, 11), (6, 4), (8, 9), (11, 3), (10, 1), (5, 12), (2, 3), (2, 6), (20, 6), (4, 1), (10, 0), (13, 19), (4, 8), (0, 22), (12, 14), (24, 23), (1, 13), (8, 10), (17, 9), (16, 7), (4, 9), (13, 4), (17, 21), (0, 13), (8, 7), (22, 18), (18, 10), (18, 20), (5, 14), (18, 2), (10, 3), (24, 15), (12, 24), (13, 2), (8, 1), (2, 16), (19, 21), (3, 19), (24, 16), (12, 9), (11, 0), (0, 14), (20, 16), (17, 15)]
893 : [(0, 22), (13, 19), (8, 7), (17, 9), (20, 16), (4, 9), (6, 4), (15, 21), (24, 23), (13, 2), (22, 11), (17, 21), (4, 1), (2, 3), (12, 24), (18, 2), (12, 14), (0, 13), (2, 6), (8, 9), (2, 16), (24, 15), (3, 19), (16, 7), (5, 14), (17, 15), (7, 5), (10, 3), (12, 9), (11, 17), (8, 1), (1, 15), (13, 4), (10, 1), (22, 18), (20, 6), (1, 13), (7, 23), (19, 21), (10, 0), (4, 8), (24, 16), (18, 20), (8, 10), (3, 9), (11, 0), (11, 3), (0, 14), (5, 12), (18, 10)]
911 : [(18, 10), (22, 18), (1, 15), (0, 14), (19, 21), (13, 19), (10, 3), (11, 0), (4, 8), (10, 1), (7, 5), (12, 9), (20, 16), (16, 7), (20, 6), (8, 7), (5, 12), (18, 2), (18, 20), (22, 11), (2, 3), (15, 21), (5, 14), (0, 22), (7, 23), (11, 3), (2, 6), (17, 21), (24, 15), (12, 14), (17, 15), (10, 0), (4, 1), (2, 16), (8, 9), (11, 17), (12, 24), (3, 9), (17, 9), (8, 1), (13, 4), (1, 13), (6, 4), (13, 2), (4, 9), (0, 13), (3, 19), (24, 23), (24, 16), (8, 10)]
881 : [(8, 7), (1, 15), (7, 23), (2, 3), (8, 10), (2, 6), (10, 3), (10, 0), (13, 2), (3, 19), (12, 14), (8, 9), (24, 15), (8, 1), (4, 9), (0, 13), (18, 10), (13, 4), (1, 13), (4, 8), (12, 9), (22, 11), (24, 23), (18, 20), (6, 4), (24, 16), (18, 2), (0, 14), (22, 18), (17, 15), (17, 9), (11, 3), (2, 16), (19, 21), (0, 22), (11, 0), (16, 7), (15, 21), (20, 16), (10, 1), (12, 24), (11, 17), (20, 6), (13, 19), (7, 5), (5, 12), (5, 14), (3, 9), (17, 21), (4, 1)]
911 : [(2, 3), (8, 1), (5, 14), (18, 20), (1, 13), (17, 9), (17, 15), (2, 6), (18, 10), (8, 7), (24, 16), (8, 10), (11, 17), (17, 21), (4, 9), (8, 9), (1, 15), (22, 11), (11, 3), (20, 6), (3, 19), (13, 4), (0, 22), (24, 23), (2, 16), (4, 8), (12, 9), (6, 4), (15, 21), (7, 23), (5, 12), (7, 5), (3, 9), (16, 7), (22, 18), (12, 14), (13, 19), (18, 2), (11, 0), (10, 0), (24, 15), (13, 2), (10, 3), (19, 21), (0, 13), (10, 1), (12, 24), (20, 16), (0, 14), (4, 1)]
919 : [(24, 15), (24, 16), (19, 21), (15, 21), (8, 1), (4, 8), (18, 10), (17, 21), (5, 12), (20, 16), (7, 23), (3, 19), (18, 20), (3, 9), (17, 9), (7, 5), (8, 7), (4, 9), (13, 4), (22, 18), (0, 14), (2, 16), (6, 4), (22, 11), (20, 6), (4, 1), (2, 3), (24, 23), (8, 10), (12, 9), (1, 15), (10, 0), (13, 19), (18, 2), (11, 0), (10, 1), (13, 2), (12, 24), (10, 3), (12, 14), (8, 9), (17, 15), (11, 3), (2, 6), (0, 13), (0, 22), (1, 13), (16, 7), (11, 17), (5, 14)]
899 : [(4, 9), (11, 3), (13, 19), (3, 19), (11, 17), (18, 10), (1, 13), (5, 12), (12, 14), (16, 7), (6, 4), (10, 1), (20, 16), (15, 21), (18, 2), (24, 15), (2, 3), (2, 6), (0, 14), (24, 16), (19, 21), (20, 6), (24, 23), (11, 0), (2, 16), (22, 18), (13, 2), (17, 9), (12, 9), (1, 15), (8, 1), (22, 11), (8, 10), (0, 22), (10, 3), (8, 7), (0, 13), (17, 15), (17, 21), (5, 14), (3, 9), (12, 24), (13, 4), (18, 20), (7, 5), (10, 0), (8, 9), (4, 1), (4, 8), (7, 23)]
911 : [(18, 10), (2, 3), (12, 14), (4, 8), (3, 19), (0, 14), (10, 0), (13, 19), (5, 14), (7, 23), (2, 6), (0, 22), (4, 1), (17, 21), (17, 9), (17, 15), (12, 9), (22, 11), (3, 9), (1, 15), (10, 1), (1, 13), (8, 1), (7, 5), (22, 18), (8, 7), (12, 24), (8, 9), (11, 3), (24, 23), (13, 2), (13, 4), (8, 10), (18, 2), (15, 21), (19, 21), (11, 0), (10, 3), (24, 15), (11, 17), (20, 6), (24, 16), (16, 7), (0, 13), (4, 9), (6, 4), (2, 16), (18, 20), (5, 12), (20, 16)]
921 : [(11, 0), (6, 4), (1, 15), (11, 17), (24, 15), (0, 22), (0, 13), (7, 23), (3, 9), (24, 16), (13, 19), (4, 8), (12, 24), (18, 2), (20, 16), (8, 1), (15, 21), (2, 3), (1, 13), (12, 9), (13, 2), (0, 14), (19, 21), (24, 23), (10, 1), (2, 6), (17, 9), (11, 3), (13, 4), (22, 18), (17, 21), (8, 9), (10, 3), (20, 6), (8, 7), (5, 12), (17, 15), (18, 20), (7, 5), (4, 9), (10, 0), (12, 14), (18, 10), (8, 10), (5, 14), (22, 11), (4, 1), (2, 16), (3, 19), (16, 7)]
901 : [(0, 14), (8, 9), (1, 13), (2, 3), (13, 19), (3, 9), (13, 2), (6, 4), (11, 0), (15, 21), (20, 16), (24, 16), (12, 14), (12, 24), (18, 20), (20, 6), (5, 14), (0, 22), (7, 23), (2, 6), (22, 18), (4, 9), (8, 10), (8, 7), (17, 15), (18, 10), (11, 17), (7, 5), (24, 15), (3, 19), (22, 11), (4, 1), (8, 1), (19, 21), (24, 23), (17, 21), (10, 3), (16, 7), (10, 1), (11, 3), (0, 13), (12, 9), (5, 12), (2, 16), (1, 15), (10, 0), (17, 9), (18, 2), (4, 8), (13, 4)]
